player_name,Player,season,G,Min,eFG_per,OR_per,DR_per,TO_per,FTr,Fguse_per,ShotUse_per,AstRate,FG3r,BLKr,STLr,PF/48min,FG2_per,FG3_per,TREB_per,Floor_per,ORTG,PtsProd,PossUsg,DRTG,NetPts/48,NetPtsAR,WinsAR,StartYear,YearsInLeague,all_nba,team,Positions
Wayne Cooper,"Cooper,Wayne",1983,80,2099,0.443,0.114,0.213,0.194,0.187,0.191,0.186,0.076,0.007,0.036,0.006,7.3,0.446,0,0.163,0.49,96.7,809,19%,102.2,-1.1,39,1.3,,,0,None,
Wayne Cooper,"Cooper,Wayne",1984,81,1662,0.459,0.122,0.22,0.152,0.279,0.22,0.218,0.062,0.011,0.036,0.007,7.1,0.463,0,0.17,0.54,109,787,21%,106.1,0.7,92,3.1,,,0,None,
Wayne Cooper,"Cooper,Wayne",1985,80,2031,0.472,0.113,0.225,0.161,0.188,0.21,0.206,0.054,0.002,0.052,0.006,7.2,0.473,0,0.166,0.52,102.7,952,20%,105.9,-0.7,57,1.9,,,0,None,
Wayne Cooper,"Cooper,Wayne",1986,78,2112,0.467,0.09,0.218,0.126,0.192,0.215,0.21,0.052,0.008,0.057,0.009,7.2,0.466,0.429,0.151,0.52,105,972,20%,102.1,0.6,115,3.8,,,0,None,
Wayne Cooper,"Cooper,Wayne",1987,69,1561,0.448,0.102,0.223,0.141,0.151,0.167,0.16,0.055,0.006,0.035,0.004,7.9,0.451,0,0.159,0.51,102.3,566,16%,108.6,-1.5,18,0.6,,,0,None,
Wayne Cooper,"Cooper,Wayne",1988,45,865,0.437,0.115,0.217,0.186,0.185,0.155,0.153,0.042,0.004,0.058,0.006,8,0.439,0,0.164,0.48,97.1,308,17%,103,-1.2,15,0.5,,,0,None,
Wayne Cooper,"cooper,wayne",1989,79,1864,0.497,0.111,0.238,0.141,0.178,0.116,0.114,0.05,0.009,0.06,0.009,7.8,0.498,0.25,0.171,0.56,112.6,582,12%,102.3,1.1,121,4,,,0,None,
Wayne Cooper,"cooper,wayne",1990,79,1176,0.454,0.107,0.207,0.128,0.082,0.136,0.125,0.048,0.01,0.044,0.007,8.6,0.458,0,0.157,0.53,106.9,326,12%,102.5,0.3,56,1.9,,,0,None,
Wayne Cooper,"Cooper,Wayne",1991,67,746,0.393,0.081,0.196,0.137,0.228,0.105,0.103,0.036,0.007,0.045,0.004,7.7,0.396,0,0.139,0.51,103.3,166,10%,102,-0.1,29,1,,,0,None,
Wayne Cooper,"Cooper,Wayne",1992,35,344,0.427,0.121,0.2,0.164,0.085,0.129,0.12,0.079,0,0.044,0.006,8,0.427,,0.16,0.51,103,94,13%,102.3,-0.1,14,0.5,,,0,None,
Tom Copa,"Copa,Tom",1992,33,132,0.55,0.117,0.18,0.177,0.1,0.169,0.17,0.033,0,0.025,0.008,10.5,0.55,,0.149,0.52,100.6,46,17%,104.2,-0.7,4,0.1,1992,1,0,None,5
Chris Copeland,"Copeland,Chris",2013,56,862,0.557,0.045,0.119,0.136,0.166,0.26,0.256,0.057,0.368,0.009,0.01,5.8,0.513,0.421,0.081,0.48,110.6,408,23%,107.8,0.8,51,1.7,2013,1,0,None,3.5
Chris Copeland,"Copeland,Chris",2014,41,265,0.611,0.031,0.101,0.127,0.085,0.266,0.25,0.127,0.675,0.015,0.006,6.9,0.579,0.418,0.068,0.43,106.7,117,22%,111.9,-0.8,6,0.2,2013,2,0,None,3.5
